Y,DESCRIPTION
GLRLM_IBSI_RUNLENGTHNONUNIFORMITY_2DF_BW,Run length nonuniformity from averaging in 8 directions for each slice .
GLRLM_IBSI_RUNLENGTHNONUNIFORMITY_2DF_HU,Run length nonuniformity from averaging in 8 directions for each slice .
GLRLM_IBSI_RUNLENGTHNONUNIFORMITY_2DS_BW,Run length nonuniformity from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_RUNLENGTHNONUNIFORMITY_2DS_HU,Run length nonuniformity from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_RUNLENGTHNONUNIFORMITY_2DV_BW,Run length nonuniformity from merging in 8 directions for each slice.
GLRLM_IBSI_RUNLENGTHNONUNIFORMITY_2DV_HU,Run length nonuniformity from merging in 8 directions for each slice.
GLRLM_IBSI_RUNLENGTHNONUNIFORMITY_3DF_BW,Run length nonuniformity from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNLENGTHNONUNIFORMITY_3DF_HU,Run length nonuniformity from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNLENGTHNONUNIFORMITY_3DV_BW,Run length nonuniformity from merging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNLENGTHNONUNIFORMITY_3DV_HU,Run length nonuniformity from merging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNLENGTHNONUNIFORMITYNORMALIZED_2DF_BW,Normalized run length nonuniformity from averaging in 8 directions for each slice .
GLRLM_IBSI_RUNLENGTHNONUNIFORMITYNORMALIZED_2DF_HU,Normalized run length nonuniformity from averaging in 8 directions for each slice .
GLRLM_IBSI_RUNLENGTHNONUNIFORMITYNORMALIZED_2DS_BW,Normalized run length nonuniformity from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_RUNLENGTHNONUNIFORMITYNORMALIZED_2DS_HU,Normalized run length nonuniformity from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_RUNLENGTHNONUNIFORMITYNORMALIZED_2DV_BW,Normalized run length nonuniformity from merging in 8 directions for each slice.
GLRLM_IBSI_RUNLENGTHNONUNIFORMITYNORMALIZED_2DV_HU,Normalized run length nonuniformity from merging in 8 directions for each slice.
GLRLM_IBSI_RUNLENGTHNONUNIFORMITYNORMALIZED_3DF_BW,Normalized run length nonuniformity from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNLENGTHNONUNIFORMITYNORMALIZED_3DF_HU,Normalized run length nonuniformity from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNLENGTHNONUNIFORMITYNORMALIZED_3DV_BW,Normalized run length nonuniformity from merging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNLENGTHNONUNIFORMITYNORMALIZED_3DV_HU,Normalized run length nonuniformity from merging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNLENGTHVARIANCE_2DF_BW,Run length variance from averaging in 8 directions for each slice .
GLRLM_IBSI_RUNLENGTHVARIANCE_2DF_HU,Run length variance from averaging in 8 directions for each slice .
GLRLM_IBSI_RUNLENGTHVARIANCE_2DS_BW,Run length variance from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_RUNLENGTHVARIANCE_2DS_HU,Run length variance from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_RUNLENGTHVARIANCE_2DV_BW,Run length variance from merging in 8 directions for each slice.
GLRLM_IBSI_RUNLENGTHVARIANCE_2DV_HU,Run length variance from merging in 8 directions for each slice.
GLRLM_IBSI_RUNLENGTHVARIANCE_3DF_BW,Run length variance from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNLENGTHVARIANCE_3DF_HU,Run length variance from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNLENGTHVARIANCE_3DV_BW,Run length variance from merging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNLENGTHVARIANCE_3DV_HU,Run length variance from merging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNPERCENTAGE_2DF_BW,Run percentage from averaging in 8 directions for each slice .
GLRLM_IBSI_RUNPERCENTAGE_2DF_HU,Run percentage from averaging in 8 directions for each slice .
GLRLM_IBSI_RUNPERCENTAGE_2DS_BW,Run percentage from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_RUNPERCENTAGE_2DS_HU,Run percentage from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_RUNPERCENTAGE_2DV_BW,Run percentage from merging in 8 directions for each slice.
GLRLM_IBSI_RUNPERCENTAGE_2DV_HU,Run percentage from merging in 8 directions for each slice.
GLRLM_IBSI_RUNPERCENTAGE_3DF_BW,Run percentage from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNPERCENTAGE_3DF_HU,Run percentage from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNPERCENTAGE_3DV_BW,Run percentage from merging 26 directions in 3 dimensions.
GLRLM_IBSI_RUNPERCENTAGE_3DV_HU,Run percentage from merging 26 directions in 3 dimensions.
GLRLM_IBSI_SHORTRUNEMPHASIS_2DF_BW,Short runs emphasis from averaging in 8 directions for each slice .
GLRLM_IBSI_SHORTRUNEMPHASIS_2DF_HU,Short runs emphasis from averaging in 8 directions for each slice .
GLRLM_IBSI_SHORTRUNEMPHASIS_2DS_BW,Short runs emphasis from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_SHORTRUNEMPHASIS_2DS_HU,Short runs emphasis from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_SHORTRUNEMPHASIS_2DV_BW,Short runs emphasis from merging in 8 directions for each slice.
GLRLM_IBSI_SHORTRUNEMPHASIS_2DV_HU,Short runs emphasis from merging in 8 directions for each slice.
GLRLM_IBSI_SHORTRUNEMPHASIS_3DF_BW,Short runs emphasis from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_SHORTRUNEMPHASIS_3DF_HU,Short runs emphasis from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_SHORTRUNEMPHASIS_3DV_BW,Short runs emphasis from merging 26 directions in 3 dimensions.
GLRLM_IBSI_SHORTRUNEMPHASIS_3DV_HU,Short runs emphasis from merging 26 directions in 3 dimensions.
GLRLM_IBSI_SHORTRUNHIGHGLEMPHASIS_2DF_BW,Short run high grey level emphasis from averaging in 8 directions for each slice .
GLRLM_IBSI_SHORTRUNHIGHGLEMPHASIS_2DF_HU,Short run high grey level emphasis from averaging in 8 directions for each slice .
GLRLM_IBSI_SHORTRUNHIGHGLEMPHASIS_2DS_BW,Short run high grey level emphasis from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_SHORTRUNHIGHGLEMPHASIS_2DS_HU,Short run high grey level emphasis from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_SHORTRUNHIGHGLEMPHASIS_2DV_BW,Short run high grey level emphasis from merging in 8 directions for each slice.
GLRLM_IBSI_SHORTRUNHIGHGLEMPHASIS_2DV_HU,Short run high grey level emphasis from merging in 8 directions for each slice.
GLRLM_IBSI_SHORTRUNHIGHGLEMPHASIS_3DF_BW,Short run high grey level emphasis from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_SHORTRUNHIGHGLEMPHASIS_3DF_HU,Short run high grey level emphasis from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_SHORTRUNHIGHGLEMPHASIS_3DV_BW,Short run high grey level emphasis from merging 26 directions in 3 dimensions.
GLRLM_IBSI_SHORTRUNHIGHGLEMPHASIS_3DV_HU,Short run high grey level emphasis from merging 26 directions in 3 dimensions.
GLRLM_IBSI_SHORTRUNLOWGLEMPHASIS_2DF_BW,Short run low grey level emphasis from averaging in 8 directions for each slice .
GLRLM_IBSI_SHORTRUNLOWGLEMPHASIS_2DF_HU,Short run low grey level emphasis from averaging in 8 directions for each slice .
GLRLM_IBSI_SHORTRUNLOWGLEMPHASIS_2DS_BW,Short run low grey level emphasis from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_SHORTRUNLOWGLEMPHASIS_2DS_HU,Short run low grey level emphasis from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_SHORTRUNLOWGLEMPHASIS_2DV_BW,Short run low grey level emphasis from merging in 8 directions for each slice.
GLRLM_IBSI_SHORTRUNLOWGLEMPHASIS_2DV_HU,Short run low grey level emphasis from merging in 8 directions for each slice.
GLRLM_IBSI_SHORTRUNLOWGLEMPHASIS_3DF_BW,Short run low grey level emphasis from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_SHORTRUNLOWGLEMPHASIS_3DF_HU,Short run low grey level emphasis from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_SHORTRUNLOWGLEMPHASIS_3DV_BW,Short run low grey level emphasis from merging 26 directions in 3 dimensions.
GLRLM_IBSI_SHORTRUNLOWGLEMPHASIS_3DV_HU,Short run low grey level emphasis from merging 26 directions in 3 dimensions.
GLSZM_IBSI_GL_NONUNIF_2DS_BW,Grey level nonuniformity
GLSZM_IBSI_GL_NONUNIF_2DS_HU,Grey level nonuniformity
GLSZM_IBSI_GL_NONUNIF_2DV_BW,Grey level nonuniformity
GLSZM_IBSI_GL_NONUNIF_2DV_HU,Grey level nonuniformity
GLSZM_IBSI_GL_NONUNIF_3D_BW,Grey level nonuniformity
GLSZM_IBSI_GL_NONUNIF_3D_HU,Grey level nonuniformity
GLSZM_IBSI_GL_NONUNIF_NORMALISED_2DS_BW,Normalized grey level nonuniformity
GLSZM_IBSI_GL_NONUNIF_NORMALISED_2DS_HU,Normalized grey level nonuniformity
GLSZM_IBSI_GL_NONUNIF_NORMALISED_2DV_BW,Normalized grey level nonuniformity
GLSZM_IBSI_GL_NONUNIF_NORMALISED_2DV_HU,Normalized grey level nonuniformity
GLSZM_IBSI_GL_NONUNIF_NORMALISED_3D_BW,Normalized grey level nonuniformity
GLSZM_IBSI_GL_NONUNIF_NORMALISED_3D_HU,Normalized grey level nonuniformity
GLSZM_IBSI_GL_VARIANCE_2DS_BW,Grey level variance
GLSZM_IBSI_GL_VARIANCE_2DS_HU,Grey level variance
GLSZM_IBSI_GL_VARIANCE_2DV_BW,Grey level variance
GLSZM_IBSI_GL_VARIANCE_2DV_HU,Grey level variance
GLSZM_IBSI_GL_VARIANCE_3D_BW,Grey level variance
GLSZM_IBSI_GL_VARIANCE_3D_HU,Grey level variance
GLSZM_IBSI_HIGH_GL_ZONE_EMPH_2DS_BW,High grey level zone emphasis
GLSZM_IBSI_HIGH_GL_ZONE_EMPH_2DS_HU,High grey level zone emphasis
GLSZM_IBSI_HIGH_GL_ZONE_EMPH_2DV_BW,High grey level zone emphasis
GLSZM_IBSI_HIGH_GL_ZONE_EMPH_2DV_HU,High grey level zone emphasis
GLSZM_IBSI_HIGH_GL_ZONE_EMPH_3D_BW,High grey level zone emphasis
GLSZM_IBSI_HIGH_GL_ZONE_EMPH_3D_HU,High grey level zone emphasis
GLSZM_IBSI_LARGE_ZONE_EMPH_2DS_BW,Large zone emphasis
GLSZM_IBSI_LARGE_ZONE_EMPH_2DS_HU,Large zone emphasis
GLSZM_IBSI_LARGE_ZONE_EMPH_2DV_BW,Large zone emphasis
GLSZM_IBSI_LARGE_ZONE_EMPH_2DV_HU,Large zone emphasis
GLSZM_IBSI_LARGE_ZONE_EMPH_3D_BW,Large zone emphasis
GLSZM_IBSI_LARGE_ZONE_EMPH_3D_HU,Large zone emphasis
GLSZM_IBSI_LARGE_ZONE_HIGH_GL_EMPH_2DS_BW,Large zone high grey level emphasis
GLSZM_IBSI_LARGE_ZONE_HIGH_GL_EMPH_2DS_HU,Large zone high grey level emphasis
GLSZM_IBSI_LARGE_ZONE_HIGH_GL_EMPH_2DV_BW,Large zone high grey level emphasis
GLSZM_IBSI_LARGE_ZONE_HIGH_GL_EMPH_2DV_HU,Large zone high grey level emphasis
GLSZM_IBSI_LARGE_ZONE_HIGH_GL_EMPH_3D_BW,Large zone high grey level emphasis
GLSZM_IBSI_LARGE_ZONE_HIGH_GL_EMPH_3D_HU,Large zone high grey level emphasis
GLSZM_IBSI_LARGE_ZONE_LOW_GL_EMPH_2DS_BW,Large Zzone low grey level emphasis
GLSZM_IBSI_LARGE_ZONE_LOW_GL_EMPH_2DS_HU,Large Zzone low grey level emphasis
GLSZM_IBSI_LARGE_ZONE_LOW_GL_EMPH_2DV_BW,Large Zzone low grey level emphasis
GLSZM_IBSI_LARGE_ZONE_LOW_GL_EMPH_2DV_HU,Large Zzone low grey level emphasis
GLSZM_IBSI_LARGE_ZONE_LOW_GL_EMPH_3D_BW,Large Zzone low grey level emphasis
GLSZM_IBSI_LARGE_ZONE_LOW_GL_EMPH_3D_HU,Large Zzone low grey level emphasis
GLSZM_IBSI_LOW_GL_ZONE_EMPH_2DS_BW,Low grey level zone emphsis
GLSZM_IBSI_LOW_GL_ZONE_EMPH_2DS_HU,Low grey level zone emphsis
GLSZM_IBSI_LOW_GL_ZONE_EMPH_2DV_BW,Low grey level zone emphsis
GLSZM_IBSI_LOW_GL_ZONE_EMPH_2DV_HU,Low grey level zone emphsis
GLSZM_IBSI_LOW_GL_ZONE_EMPH_3D_BW,Low grey level zone emphsis
GLSZM_IBSI_LOW_GL_ZONE_EMPH_3D_HU,Low grey level zone emphsis
GLSZM_IBSI_SMALL_ZONE_EMPH_2DS_BW,Small zone emphasis
GLSZM_IBSI_SMALL_ZONE_EMPH_2DS_HU,Small zone emphasis
GLSZM_IBSI_SMALL_ZONE_EMPH_2DV_BW,Small zone emphasis
GLSZM_IBSI_SMALL_ZONE_EMPH_2DV_HU,Small zone emphasis
GLSZM_IBSI_SMALL_ZONE_EMPH_3D_BW,Small zone emphasis
GLSZM_IBSI_SMALL_ZONE_EMPH_3D_HU,Small zone emphasis
GLSZM_IBSI_SMALL_ZONE_HIGH_GL_EMPH_2DS_BW,Small zone high grey level emphasis
GLSZM_IBSI_SMALL_ZONE_HIGH_GL_EMPH_2DS_HU,Small zone high grey level emphasis
GLSZM_IBSI_SMALL_ZONE_HIGH_GL_EMPH_2DV_BW,Small zone high grey level emphasis
GLSZM_IBSI_SMALL_ZONE_HIGH_GL_EMPH_2DV_HU,Small zone high grey level emphasis
GLSZM_IBSI_SMALL_ZONE_HIGH_GL_EMPH_3D_BW,Small zone high grey level emphasis
GLSZM_IBSI_SMALL_ZONE_HIGH_GL_EMPH_3D_HU,Small zone high grey level emphasis
GLSZM_IBSI_SMALL_ZONE_LOW_GL_EMPH_2DS_BW,Small zone low grey level emphasis
GLSZM_IBSI_SMALL_ZONE_LOW_GL_EMPH_2DS_HU,Small zone low grey level emphasis
GLSZM_IBSI_SMALL_ZONE_LOW_GL_EMPH_2DV_BW,Small zone low grey level emphasis
GLSZM_IBSI_SMALL_ZONE_LOW_GL_EMPH_2DV_HU,Small zone low grey level emphasis
GLSZM_IBSI_SMALL_ZONE_LOW_GL_EMPH_3D_BW,Small zone low grey level emphasis
GLSZM_IBSI_SMALL_ZONE_LOW_GL_EMPH_3D_HU,Small zone low grey level emphasis
GLSZM_IBSI_ZONE_PERCENTAGE_2DS_BW,Zone percentage
GLSZM_IBSI_ZONE_PERCENTAGE_2DS_HU,Zone percentage
GLSZM_IBSI_ZONE_PERCENTAGE_2DV_BW,Zone percentage
GLSZM_IBSI_ZONE_PERCENTAGE_2DV_HU,Zone percentage
GLSZM_IBSI_ZONE_PERCENTAGE_3D_BW,Zone percentage
GLSZM_IBSI_ZONE_PERCENTAGE_3D_HU,Zone percentage
GLSZM_IBSI_ZS_ENTROPY_2DS_BW,Zone size entropy
GLSZM_IBSI_ZS_ENTROPY_2DS_HU,Zone size entropy
GLSZM_IBSI_ZS_ENTROPY_2DV_BW,Zone size entropy
GLSZM_IBSI_ZS_ENTROPY_2DV_HU,Zone size entropy
GLSZM_IBSI_ZS_ENTROPY_3D_BW,Zone size entropy
GLSZM_IBSI_ZS_ENTROPY_3D_HU,Zone size entropy
GLSZM_IBSI_ZS_NONUNIF_2DS_BW,Zone size uniformity
GLSZM_IBSI_ZS_NONUNIF_2DS_HU,Zone size uniformity
GLSZM_IBSI_ZS_NONUNIF_2DV_BW,Zone size uniformity
GLSZM_IBSI_ZS_NONUNIF_2DV_HU,Zone size uniformity
GLSZM_IBSI_ZS_NONUNIF_3D_BW,Zone size uniformity
GLSZM_IBSI_ZS_NONUNIF_3D_HU,Zone size uniformity
GLSZM_IBSI_ZS_NONUNIF_NORMALISED_2DS_BW,Normalized zone size nonuniformity
GLSZM_IBSI_ZS_NONUNIF_NORMALISED_2DS_HU,Normalized zone size nonuniformity
GLSZM_IBSI_ZS_NONUNIF_NORMALISED_2DV_BW,Normalized zone size nonuniformity
GLSZM_IBSI_ZS_NONUNIF_NORMALISED_2DV_HU,Normalized zone size nonuniformity
GLSZM_IBSI_ZS_NONUNIF_NORMALISED_3D_BW,Normalized zone size nonuniformity
GLSZM_IBSI_ZS_NONUNIF_NORMALISED_3D_HU,Normalized zone size nonuniformity
GLSZM_IBSI_ZS_VARIANCE_2DS_BW,Zone size variance
GLSZM_IBSI_ZS_VARIANCE_2DS_HU,Zone size variance
GLSZM_IBSI_ZS_VARIANCE_2DV_BW,Zone size variance
GLSZM_IBSI_ZS_VARIANCE_2DV_HU,Zone size variance
GLSZM_IBSI_ZS_VARIANCE_3D_BW,Zone size variance
GLSZM_IBSI_ZS_VARIANCE_3D_HU,Zone size variance
INTEGRATED_INTENSITY_MM,Average gray level(HU) multiplied by volume(millimeters cubed).
INTENSITY_CENTER_OF_MASS_MM_X,Patient X coordinate for center of mass weighted by image intensity.
INTENSITY_CENTER_OF_MASS_MM_Y,Patient Y coordinate for center of mass weighted by image intensity.
INTENSITY_CENTER_OF_MASS_MM_Z,Patient Z coordinate for center of mass weighted by image intensity.
INTENSITY_HISTOGRAM_COV_HU,Coefficient of variation of discretized voxels
INTENSITY_HISTOGRAM_COV_LBW,Coefficient of variation of discretized voxels
INTENSITY_HISTOGRAM_ENERGY_HU,Energy of discretized voxels
INTENSITY_HISTOGRAM_ENERGY_LBW,Energy of discretized voxels
INTENSITY_HISTOGRAM_ENTROPY_HU,Entropy of discretized voxels
INTENSITY_HISTOGRAM_ENTROPY_LBW,Entropy of discretized voxels
INTENSITY_HISTOGRAM_INTATVOLFRAC10_HU,Grey level intensity beneath which 10% of the volume occurs
INTENSITY_HISTOGRAM_INTATVOLFRAC10_LBW,Grey level intensity beneath which 10% of the volume occurs
INTENSITY_HISTOGRAM_INTATVOLFRAC90_HU,Grey level intensity beneath which 90% of the volume occurs
INTENSITY_HISTOGRAM_INTATVOLFRAC90_LBW,Grey level intensity beneath which 90% of the volume occurs
INTENSITY_HISTOGRAM_INTATVOLFRACDIFF_HU,The difference between the intensities at volume fraction of 90 and 10 Percent
INTENSITY_HISTOGRAM_INTATVOLFRACDIFF_LBW,The difference between the intensities at volume fraction of 90 and 10 Percent
INTENSITY_HISTOGRAM_IQR_HU,Interquartile range of discretized voxels
INTENSITY_HISTOGRAM_IQR_LBW,Interquartile range of discretized voxels
INTENSITY_HISTOGRAM_KURTOSIS_HU,Excess kurtosis discretized voxels
INTENSITY_HISTOGRAM_KURTOSIS_LBW,Excess kurtosis discretized voxels
INTENSITY_HISTOGRAM_MAX_HU,Maximum of discretized voxels
INTENSITY_HISTOGRAM_MAX_LBW,Maximum of discretized voxels
INTENSITY_HISTOGRAM_MEAN_DEVIATION_HU,Absolute deviation from the mean of discretized voxels
INTENSITY_HISTOGRAM_MEAN_DEVIATION_LBW,Absolute deviation from the mean of discretized voxels
INTENSITY_HISTOGRAM_MEAN_HU,Mean of Discretized voxels
INTENSITY_HISTOGRAM_MEAN_LBW,Mean of Discretized voxels
INTENSITY_HISTOGRAM_MEDIAN_DEVIATION_HU,Absolute deviation from the median of discretized voxels
INTENSITY_HISTOGRAM_MEDIAN_DEVIATION_LBW,Absolute deviation from the median of discretized voxels
INTENSITY_HISTOGRAM_MEDIAN_HU,Median of discretized voxels
INTENSITY_HISTOGRAM_MEDIAN_LBW,Median of discretized voxels
INTENSITY_HISTOGRAM_MIN_HU,Minimum of discretized voxels
INTENSITY_HISTOGRAM_MIN_LBW,Minimum of discretized voxels
INTENSITY_HISTOGRAM_PERCENTILE10_HU,The 10th percentile of discretized voxels
INTENSITY_HISTOGRAM_PERCENTILE10_LBW,The 10th percentile of discretized voxels
INTENSITY_HISTOGRAM_PERCENTILE90_HU,The 90th percentile discretized voxels
INTENSITY_HISTOGRAM_PERCENTILE90_LBW,The 90th percentile discretized voxels
INTENSITY_HISTOGRAM_QCOD_HU,Quartile coefficient of discretized voxels
INTENSITY_HISTOGRAM_QCOD_LBW,Quartile coefficient of discretized voxels
INTENSITY_HISTOGRAM_RANGE_HU,Range of values of discretized voxels
INTENSITY_HISTOGRAM_RANGE_LBW,Range of values of discretized voxels
INTENSITY_HISTOGRAM_RIEMANNAREA_HU,Area under the intensity volume histogram curve
INTENSITY_HISTOGRAM_RIEMANNAREA_LBW,Area under the intensity volume histogram curve
INTENSITY_HISTOGRAM_RMS_HU,Root mean squared of discretized voxels
INTENSITY_HISTOGRAM_RMS_LBW,Root mean squared of discretized voxels
INTENSITY_HISTOGRAM_ROBUST_MEAN_DEVIATION_HU,Robust absolute deviation from the mean of discretized voxels
INTENSITY_HISTOGRAM_ROBUST_MEAN_DEVIATION_LBW,Robust absolute deviation from the mean of discretized voxels
INTENSITY_HISTOGRAM_SKEWNESS_HU,Skewness of discretized voxels
INTENSITY_HISTOGRAM_SKEWNESS_LBW,Skewness of discretized voxels
INTENSITY_HISTOGRAM_UNIFORMITY_HU,Uniformity of discretized voxels
INTENSITY_HISTOGRAM_UNIFORMITY_LBW,Uniformity of discretized voxels
INTENSITY_HISTOGRAM_VARIANCE_HU,Variance of discretized voxels
INTENSITY_HISTOGRAM_VARIANCE_LBW,Variance of discretized voxels
INTENSITY_HISTOGRAM_VOLATINTFRAC10_HU,Fractional volume with and grey level intensity in the bottom 10%
INTENSITY_HISTOGRAM_VOLATINTFRAC10_LBW,Fractional volume with and grey level intensity in the bottom 10%
INTENSITY_HISTOGRAM_VOLATINTFRAC90_HU,Fractional volume with and grey level intensity in the bottom 90%
INTENSITY_HISTOGRAM_VOLATINTFRAC90_LBW,Fractional volume with and grey level intensity in the bottom 90%
INTENSITY_HISTOGRAM_VOLATINTFRACDIFF_HU,The difference between the volumes at intensity fraction of 90 and 10 Percent
INTENSITY_HISTOGRAM_VOLATINTFRACDIFF_LBW,The difference between the volumes at intensity fraction of 90 and 10 Percent
INTERQUARTILE_RANGE_HU,The 75th percentile minus the 25th percentile of the ROI intensity values.
KURTOSIS_IBSI_HU,A measure of the 'peakedness' of the distribution of HU values in the image ROI.
LESION_TYPE_OVERRIDE_RISK_CALCULATOR,"Lesion's type (3 == solid, 2 == part-solid, 1 == GGO), overridden by user in Risk Calculator"
LOG_2D_COV_0_0MM_BW,Coefficient of variation of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_COV_0_0MM_HU,Coefficient of variation of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_COV_0_0MM_LBW,Coefficient of variation of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_COV_2_5MM_BW,Coefficient of variation of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_COV_2_5MM_HU,Coefficient of variation of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_COV_2_5MM_LBW,Coefficient of variation of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_ENERGY_0_0MM_BW,Energy of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_ENERGY_0_0MM_HU,Energy of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_ENERGY_0_0MM_LBW,Energy of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_ENERGY_2_5MM_BW,Energy of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_ENERGY_2_5MM_HU,Energy of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_ENERGY_2_5MM_LBW,Energy of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_ENTROPY_0_0MM_BW,Entropy of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_ENTROPY_0_0MM_HU,Entropy of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_ENTROPY_0_0MM_LBW,Entropy of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_ENTROPY_2_5MM_BW,Entropy of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_ENTROPY_2_5MM_HU,Entropy of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_ENTROPY_2_5MM_LBW,Entropy of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_IQR_0_0MM_BW,Interquartile range of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_IQR_0_0MM_HU,Interquartile range of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_IQR_0_0MM_LBW,Interquartile range of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_IQR_2_5MM_BW,Interquartile range of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_IQR_2_5MM_HU,Interquartile range of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_IQR_2_5MM_LBW,Interquartile range of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_KURTOSIS_0_0MM_BW,Excess kurtosis of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_KURTOSIS_0_0MM_HU,Excess kurtosis of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_KURTOSIS_0_0MM_LBW,Excess kurtosis of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_KURTOSIS_2_5MM_BW,Excess kurtosis of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_KURTOSIS_2_5MM_HU,Excess kurtosis of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_KURTOSIS_2_5MM_LBW,Excess kurtosis of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MAX_0_0MM_BW,Maximum of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MAX_0_0MM_HU,Maximum of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MAX_0_0MM_LBW,Maximum of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MAX_2_5MM_BW,Maximum of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MAX_2_5MM_HU,Maximum of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MAX_2_5MM_LBW,Maximum of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_0_0MM_BW,Mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_0_0MM_HU,Mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_0_0MM_LBW,Mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_2_5MM_BW,Mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_2_5MM_HU,Mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_2_5MM_LBW,Mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_DEVIATION_0_0MM_BW,Absolute deviation from the mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_DEVIATION_0_0MM_HU,Absolute deviation from the mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_DEVIATION_0_0MM_LBW,Absolute deviation from the mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_DEVIATION_2_5MM_BW,Absolute deviation from the mean of 2.5D LoG transformed voxels at 2.5mm smoothing
LOG_2D_MEAN_DEVIATION_2_5MM_HU,Absolute deviation from the mean of 2.5D LoG transformed voxels at 2.5mm smoothing
